"question_id","participant_id","time","options_checked"
8,5,"112.806","{""regular gym attendance                            "",""pool                                              "",""trainers                                          "",""available gym facilities                          ""}                                                                                                                                                                                                                                                                                               "
12,5,"93.494","{""gym buddy                                         "",""inability to focus                                "",""large gym                                         "",""hard work                                         ""}                                                                                                                                                                                                                                                                                               "
5,5,"198.51","{""low salary                                        "",""smoking                                           "",""gambling                                          "",""lack of self-esteem                               ""}                                                                                                                                                                                                                                                                                               "
16,6,"117.469","{""confidence                                        "",""study groups                                      "",""regular drinking                                  "",""many friends                                      ""}                                                                                                                                                                                                                                                                                               "
9,6,"159.023","{""regular gym attendance                            "",""gym buddy                                         "",""evident results                                   ""}                                                                                                                                                                                                                                                                                                                                                    "
14,6,"118.807","{""pass exams                                        "",""studying in the library                           "",""day-dreaming                                      "",""regular gym attendance                            ""}                                                                                                                                                                                                                                                                                               "
18,6,"110.572","{""pass exams                                        "",""missed deadlines                                  "",""low self-esteem                                   "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
11,6,"114.302","{""gym buddy                                         "",""tired body                                        "",""more friends                                      "",""social gym experience                             ""}                                                                                                                                                                                                                                                                                               "
10,6,"97.03","{""gym buddy                                         "",""regular gym attendance                            "",""tired body                                        "",""join sports societies                             ""}                                                                                                                                                                                                                                                                                               "
7,6,"165.766","{""gym dislike                                       "",""obesity                                           "",""popularity                                        "",""playing tennis                                    ""}                                                                                                                                                                                                                                                                                               "
3,6,"160.911","{""negative parenting                                "",""suicidal behaviour                                "",""lack of self-esteem                               "",""binge eating                                      ""}                                                                                                                                                                                                                                                                                               "
2,6,"143.909","{""emotional problems                                "",""obesity                                           "",""bullying                                          "",""health issues                                     ""}                                                                                                                                                                                                                                                                                               "
4,6,"100.335","{""underaged drinking                                "",""alcoholism                                        "",""drinking parents                                  "",""low grades                                        ""}                                                                                                                                                                                                                                                                                               "
17,6,"117.287","{""pass exams                                        "",""independent work                                  "",""hard work                                         "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
1,6,"122.215","{""low grades                                        "",""bullying                                          "",""regular drinking                                  ""}                                                                                                                                                                                                                                                                                                                                                    "
15,6,"149.989","{""day-dreaming                                      "",""desire to study                                   "",""studying in the library                           "",""poor performance                                  ""}                                                                                                                                                                                                                                                                                               "
6,6,"125.91","{""smoking                                           "",""health issues                                     "",""gambling                                          "",""drinking parents                                  ""}                                                                                                                                                                                                                                                                                               "
8,6,"189.726","{""regular gym attendance                            "",""pool                                              "",""trainers                                          "",""available gym facilities                          ""}                                                                                                                                                                                                                                                                                               "
5,6,"84.606","{""low salary                                        "",""smoking                                           "",""gambling                                          "",""lack of self-esteem                               ""}                                                                                                                                                                                                                                                                                               "
13,6,"111.221","{""luck                                              "",""day-dreaming                                      "",""good planning                                     "",""studying in the library                           ""}                                                                                                                                                                                                                                                                                               "
12,6,"313.969","{""inability to focus                                "",""join sports societies                             "",""large gym                                         "",""gym buddy                             ""}                                                                                                                                                                                                                                                                                                           "
1,7,"92.168","{""low grades                                        "",""depression                                        "",""low self-image                                    "",""bullying                                          "",""regular drinking                                  ""}                                                                                                                                                                                                                                          "
3,7,"85.582","{""negative parenting                                "",""loneliness                                        "",""suicidal behaviour                                "",""lack of self-esteem                               "",""binge eating                                      ""}                                                                                                                                                                                                                                          "
13,7,"100.902","{""luck                                              "",""day-dreaming                                      "",""watching movies                                   "",""good planning                                     "",""studying in the library                           ""}                                                                                                                                                                                                                                          "
18,7,"81.934","{""pass exams                                        "",""missed deadlines                                  "",""low self-esteem                                   "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
15,7,"103.582","{""day-dreaming                                      "",""desire to study                                   "",""studying in the library                           "",""wasting time                                      "",""poor performance                                  ""}                                                                                                                                                                                                                                          "
14,7,"134.221","{""pass exams                                        "",""good planning                                     "",""studying in the library                           "",""day-dreaming                                      "",""regular gym attendance                            "",""good planning                                     ""}                                                                                                                                                                                     "
11,7,"81.935","{""gym buddy                                         "",""tired body                                        "",""better social life                                "",""more friends                                      "",""social gym experience                             ""}                                                                                                                                                                                                                                          "
7,7,"97.502","{""gym dislike                                       "",""obesity                                           "",""popularity                                        "",""playing tennis                                    ""}                                                                                                                                                                                                                                                                                               "
6,7,"93.95","{""smoking                                           "",""health issues                                     "",""drinking parents                                  "",""behavioural issues                                ""}                                                                                                                                                                                                                                                                                               "
8,7,"114.709","{""regular gym attendance                            "",""pool                                              "",""trainers                                          "",""available gym facilities                          ""}                                                                                                                                                                                                                                                                                               "
5,7,"88.311","{""low salary                                        "",""smoking                                           "",""gambling                                          "",""lack of self-esteem                               ""}                                                                                                                                                                                                                                                                                               "
10,7,"94.422","{""gym buddy                                         "",""regular gym attendance                            "",""tired body                                        "",""join sports societies                             "",""doing sports                                      ""}                                                                                                                                                                                                                                          "
4,7,"77.471","{""low salary                                        "",""alcoholism                                        "",""drinking parents                                  "",""low grades                                        ""}                                                                                                                                                                                                                                                                                               "
12,7,"105.278","{""gym buddy                                         "",""inability to focus                                "",""join sports societies                             "",""large gym                                         ""}                                                                                                                                                                                                                                                                                               "
2,7,"111.254","{""emotional problems                                "",""obesity                                           "",""bullying                                          "",""health issues                                     ""}                                                                                                                                                                                                                                                                                               "
9,7,"84.215","{""taking supplements                                "",""regular gym attendance                            "",""gym buddy                                         "",""evident results                                   ""}                                                                                                                                                                                                                                                                                               "
17,7,"94.132","{""pass exams                                        "",""independent work                                  "",""hard work                                         "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
16,7,"95.499","{""confidence                                        "",""study groups                                      "",""regular drinking                                  "",""many friends                                      ""}                                                                                                                                                                                                                                                                                               "
6,8,"42.424","{""smoking                                           "",""health issues                                     "",""gambling                                          "",""drinking parents                                  ""}                                                                                                                                                                                                                                                                                               "
9,8,"39.852","{""taking supplements                                "",""regular gym attendance                            "",""gym buddy                                         "",""evident results                                   ""}                                                                                                                                                                                                                                                                                               "
4,8,"53.825","{""underaged drinking                                "",""alcoholism                                        "",""drinking parents                                  "",""low grades                                        ""}                                                                                                                                                                                                                                                                                               "
8,8,"50.654","{""regular gym attendance                            "",""pool                                              "",""trainers                                          "",""available gym facilities                          ""}                                                                                                                                                                                                                                                                                               "
1,8,"99.102","{""low grades                                        "",""low self-image                                    "",""bullying                                          ""}                                                                                                                                                                                                                                                                                                                                                    "
16,8,"80.775","{""confidence                                        "",""study groups                                      "",""regular drinking                                  "",""many friends                                      ""}                                                                                                                                                                                                                                                                                               "
14,8,"77.19","{""pass exams                                        "",""studying in the library                           "",""day-dreaming                                      "",""regular gym attendance                            ""}                                                                                                                                                                                                                                                                                               "
7,8,"91.886","{""gym dislike                                       "",""obesity                                           "",""popularity                                        "",""playing tennis                                    ""}                                                                                                                                                                                                                                                                                               "
10,8,"69.375","{""gym buddy                                         "",""regular gym attendance                            "",""tired body                                        ""}                                                                                                                                                                                                                                                                                                                                                    "
15,8,"130.293","{""day-dreaming                                      "",""desire to study                                   "",""studying in the library                           "",""poor performance                                  ""}                                                                                                                                                                                                                                                                                               "
5,8,"132.814","{""low salary                                        "",""smoking                                           "",""gambling                                          "",""lack of self-esteem                               ""}                                                                                                                                                                                                                                                                                               "
18,8,"147.029","{""pass exams                                        "",""missed deadlines                                  "",""low self-esteem                                   "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
12,8,"92.08","{""gym buddy                                         "",""inability to focus                                "",""large gym                                         ""}                                                                                                                                                                                                                                                                                                                                                    "
11,8,"87.75","{""gym buddy                                         "",""tired body                                        "",""more friends                                      "",""social gym experience                             ""}                                                                                                                                                                                                                                                                                               "
13,8,"128.07","{""luck                                              "",""day-dreaming                                      "",""good planning                                     "",""studying in the library                           ""}                                                                                                                                                                                                                                                                                               "
17,8,"84.694","{""pass exams                                        "",""hard work                                         "",""meditation                                        ""}                                                                                                                                                                                                                                                                                                                                                    "
3,8,"138.588","{""negative parenting                                "",""suicidal behaviour                                "",""lack of self-esteem                               "",""binge eating                                      ""}                                                                                                                                                                                                                                                                                               "
2,8,"125.375","{""emotional problems                                "",""obesity                                           "",""health issues                                     ""}                                                                                                                                                                                                                                                                                                                                                    "
5,9,"40.775","{""low salary                                        "",""smoking                                           "",""gambling                                          "",""lack of self-esteem                               ""}                                                                                                                                                                                                                                                                                               "
8,9,"52.238","{""regular gym attendance                            "",""pool                                              "",""trainers                                          "",""available gym facilities                          ""}                                                                                                                                                                                                                                                                                               "
3,9,"60.535","{""negative parenting                                "",""suicidal behaviour                                "",""lack of self-esteem                               "",""binge eating                                      ""}                                                                                                                                                                                                                                                                                               "
7,9,"57.094","{""gym dislike                                       "",""obesity                                           "",""popularity                                        "",""playing tennis                                    ""}                                                                                                                                                                                                                                                                                               "
15,9,"73.055","{""day-dreaming                                      "",""desire to study                                   "",""studying in the library                           "",""poor performance                                  ""}                                                                                                                                                                                                                                                                                               "
13,9,"60.541","{""day-dreaming                                      "",""good planning                                     "",""studying in the library                           ""}                                                                                                                                                                                                                                                                                                                                                    "
6,9,"53.808","{""smoking                                           "",""health issues                                     "",""gambling                                          "",""drinking parents                                  ""}                                                                                                                                                                                                                                                                                               "
9,9,"57.302","{""taking supplements                                "",""regular gym attendance                            "",""gym buddy                                         "",""evident results                                   ""}                                                                                                                                                                                                                                                                                               "
14,9,"88.671","{""pass exams                                        "",""studying in the library                           "",""day-dreaming                                      "",""regular gym attendance                            ""}                                                                                                                                                                                                                                                                                               "
4,9,"67.55","{""drinking parents                                  "",""low grades                                        ""}                                                                                                                                                                                                                                                                                                                                                                                                         "
17,9,"56.199","{""pass exams                                        "",""independent work                                  "",""hard work                                         "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
11,9,"47.198","{""gym buddy                                         "",""tired body                                        "",""more friends                                      "",""social gym experience                             ""}                                                                                                                                                                                                                                                                                               "
10,9,"75.501","{""gym buddy                                         "",""regular gym attendance                            "",""tired body                                        "",""join sports societies                             ""}                                                                                                                                                                                                                                                                                               "
12,9,"82.048","{""gym buddy                                         "",""inability to focus                                "",""join sports societies                             "",""large gym                                         ""}                                                                                                                                                                                                                                                                                               "
18,9,"77.806","{""pass exams                                        "",""missed deadlines                                  "",""low self-esteem                                   "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
16,9,"95.478","{""confidence                                        "",""study groups                                      "",""regular drinking                                  "",""many friends                                      ""}                                                                                                                                                                                                                                                                                               "
2,9,"117.077","{""emotional problems                                "",""bullying                                          "",""health issues                                     ""}                                                                                                                                                                                                                                                                                                                                                    "
1,9,"212.27","{""low grades                                        "",""low self-image                                    "",""bullying                                          "",""regular drinking                                  ""}                                                                                                                                                                                                                                                                                               "
12,10,"39.328","{""gym buddy                                         "",""inability to focus                                "",""join sports societies                             "",""large gym                                         ""}                                                                                                                                                                                                                                                                                               "
15,10,"50.647","{""day-dreaming                                      "",""desire to study                                   "",""studying in the library                           "",""poor performance                                  ""}                                                                                                                                                                                                                                                                                               "
5,10,"30.694","{""low salary                                        "",""smoking                                           "",""gambling                                          "",""lack of self-esteem                               ""}                                                                                                                                                                                                                                                                                               "
10,10,"41.478","{""gym buddy                                         "",""regular gym attendance                            "",""gym overuse                                       "",""join sports societies                             ""}                                                                                                                                                                                                                                                                                               "
14,10,"54.184","{""pass exams                                        "",""good planning                                     "",""doesn't miss deadlines                            "",""regular gym attendance                            ""}                                                                                                                                                                                                                                                                                               "
7,10,"78.111","{""gym dislike                                       "",""popularity                                        "",""playing tennis                                    "",""social gym experience                             ""}                                                                                                                                                                                                                                                                                               "
6,10,"72.838","{""smoking                                           "",""health issues                                     "",""gambling                                          "",""drinking parents                                  ""}                                                                                                                                                                                                                                                                                               "
3,10,"122.869","{""negative parenting                                "",""suicidal behaviour                                "",""lack of self-esteem                               "",""binge eating                                      ""}                                                                                                                                                                                                                                                                                               "
13,10,"144.053","{""luck                                              "",""day-dreaming                                      "",""studying in the library                           "",""pass exams                                        ""}                                                                                                                                                                                                                                                                                               "
16,10,"97.799","{""confidence                                        "",""study groups                                      "",""regular drinking                                  "",""many friends                                      ""}                                                                                                                                                                                                                                                                                               "
11,10,"117.263","{""gym buddy                                         "",""tired body                                        "",""more friends                                      "",""social gym experience                             ""}                                                                                                                                                                                                                                                                                               "
